date,link,description,title
Martes 15 de noviembre de 2016,http://www.eltiempo.com/colombia/cali/desaparicion-de-estudiante-en-cali/16750279,"(...)  como , industrial de la Universidad del Valle. Según sus compañeras de estudio, también formaba parte del comité estudiantil que defendía al Hospital Universitario (...)",La extraña desaparición de estudiante en Cali
Martes 15 de noviembre de 2016,http://www.eltiempo.com/deportes/futbol/donde-queda-san-juan-la-sede-del-juego-argentina-vs-colombia/16750171,"(...)  Martín, que actualmente milita en la primera división y que juega en el estadio , Hilario Sánchez. En este equipo juega el defensor colombiano Mauricio Casierra.",¿Dónde queda San Juan?: ciudad sede del juego Argentina - Colombia
Martes 15 de noviembre de 2016,http://www.eltiempo.com/colombia/llano-7-dias/sequia-en-cano-cristales/16750168,"(...) ”, dijo el , Javier Parra, coordinador de la regional de La Macarena, de Cormacarena.","La sequía ataca a Caño Cristales, ícono natural del Llano"
Domingo 13 de noviembre de 2016,http://www.eltiempo.com/colombia/cali/invierno-en-el-valle-del-cauca/16749513,"(...)  por el peligro que representa el derrumbe. , de la Alcaldía de Bolivar realizan una evaluación técnica para saber qué otras medidas tomar.",Preocupación por derrumbe que afectaría acueducto Sara Brut
Domingo 13 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/semana-de-la-movilidad-sostenible-en-medellin/16749483,(...) .,La movilidad sostenible implica cultura ciudadana
Domingo 13 de noviembre de 2016,http://www.eltiempo.com/politica/justicia/testigo-contra-exministro-urdinola-en-vilo/16749225,"(...)  en su contra, que también involucra a su exesposa, Alexandra Garcés; a dos exempleadas y al , agrónomo Jorge Gasca (...)",Tambalea testigo del caso que llevó preso a exministro Urdinola
Sábado 12 de noviembre de 2016,http://www.eltiempo.com/deportes/automovilismo/claves-del-exito-de-mercedes-el-mejor-equipo-de-la-f1/16748979,"(...)  encontró las mejores soluciones.,Pero, de todas maneras, la diferencia es menor con los Renault, cuyos , callaron un poco la soberbia y suficiencia cuando interpretaron las nuevas reglas (...)","Claves del éxito de Mercedes, el mejor equipo de la F1"
Sábado 12 de noviembre de 2016,http://www.eltiempo.com/colombia/cali/telecomunicaciones-de-emcali-/16748889,"(...) , y la gerente de Emcali, Cristina Arango, con voceros de Sintraemcali.",Visita de uruguayos para buscarle salidas a Emcali
Viernes 18 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/encuentran-el-cuerpo-del-ingeniero-alejandro-ramirez-desaparecido-en-2015/16753192,(...) ,"Hallaron cuerpo del ingeniero Alejandro Ramírez, desaparecido en 2015"
Jueves 17 de noviembre de 2016,http://www.eltiempo.com/tecnosfera/resenas-tecnologia/iphones-que-presentara-apple-en-2017/16752391,"(...)  nanómetros. Es probable que este teléfono por fin introduzca un sistema de recarga inalámbrica. El rumor ha cobrado fuerza porque Apple ha estado contratando , especializados (...)",Apple presentaría tres iPhones en 2017
Jueves 17 de noviembre de 2016,http://www.eltiempo.com/colombia/cali/estudiantes-pilos-paga-de-cali-/16752354,(...) .,El estado de las cuentas de los más 'pilos' en Cali
Jueves 17 de noviembre de 2016,http://www.eltiempo.com/bogota/samuel-moreno-tendra-que-reintegrar-174996-millones-por-carrusel-de-contratos-/16751937,"(...) . A., Infraestructura Concesionada, Agremezclas, , Constructores e Interventores modificaron el valor global del contrato con tres adiciones y excluyeron obras, lo que ocasionó un millonario detrimento (...)",Samuel Moreno tendrá que reintegrar 174.996 millones por 'carrusel' de contratos 
Viernes 11 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/busqueda-de-desaparecidos-en-la-escombrera/16747975,"(...)  necesitaron dos retroexcavadoras y un equipo de 20 personas, entre antropólogos forenses, topógrafos, , de suelo y obreros calificados. Igualmente, un dron que sobrevoló el terreno (...)",Forenses que hallaron restos de Cervantes llegarán a la Comuna 13
Jueves 10 de noviembre de 2016,http://www.eltiempo.com/economia/sectores/casa-del-boxeador-yuberjen-martinez/16746871,"(...)  a cargo de la Gobernación de Antioquia y de la empresa Bavaria.,Por su parte, la Constructora Mora ,-Insite donará el sistema de hogar inteligente, que consiste en centrar (...)",Casa de la mamá del boxeador Yuberjen Martínez será una realidad
